id,bank_name,city,state,cert,acquiring_institution,closing_date,fund
193,Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",2011-08-19,10392
194,Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",2011-08-18,10389
195,The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,2011-08-12,10388
196,Bank of Whitman,Colfax,WA,22528,Columbia State Bank,2011-08-05,10387
197,Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,2011-08-05,10386
198,Integra Bank National Association,Evansville,IN,4392,Old National Bank,2011-07-29,10384
199,"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,2011-07-29,10383
200,Virginia Business Bank,Richmond,VA,58283,Xenith Bank,2011-07-29,10385
201,Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",2011-07-22,10380
202,LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,2011-07-22,10381
203,Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,2011-07-22,10382
204,Summit Bank,Prescott,AZ,57442,The Foothills Bank,2011-07-15,10379
205,First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",2011-07-15,10376
206,High Trust Bank,Stockbridge,GA,19554,Ameris Bank,2011-07-15,10377
207,One Georgia Bank,Atlanta,GA,58238,Ameris Bank,2011-07-15,10378
208,Signature Bank,Windsor,CO,57835,Points West Community Bank,2011-07-08,10375
209,Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,2011-07-08,10373
210,First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,2011-07-08,10374
211,Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,2011-06-24,10372
212,First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,2011-06-17,10370
213,McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,2011-06-17,10371
214,Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",2011-06-03,10369
215,First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,2011-05-27,10368
216,Summit Bank,Burlington,WA,513,Columbia State Bank,2011-05-20,10367
217,First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",2011-05-20,10366
218,Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",2011-05-20,10365
219,Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-05-06,10364
220,Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,2011-04-29,10359
221,The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,2011-04-29,10363
222,First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,2011-04-29,10361
223,Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,10360
224,First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,10362
225,Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,2011-04-15,10354
226,Rosemount National Bank,Rosemount,MN,24099,Central Bank,2011-04-15,10357
227,Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",2011-04-15,10358
228,Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,2011-04-15,10356
229,New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,2011-04-15,10355
230,Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,2011-04-15,10353
231,Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,2011-04-08,10351
232,Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,2011-04-08,10352
233,The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,2011-03-25,10350
234,Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,2011-03-11,10348
235,First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,2011-03-11,10349
236,Valley Community Bank,St. Charles,IL,34187,First State Bank,2011-02-25,10347
237,"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,2011-02-18,10346
238,Charter Oak Bank,Napa,CA,57855,Bank of Marin,2011-02-18,10343
239,Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,2011-02-18,10344
240,Habersham Bank,Clarkesville,GA,151,SCBT National Association,2011-02-18,10345
241,Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,2011-02-11,10340
242,Badger State Bank,Cassville,WI,13272,Royal Bank,2011-02-11,10339
243,Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,2011-02-11,10341
244,Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",2011-02-11,10342
245,Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,2011-02-04,10337
246,North Georgia Bank,Watkinsville,GA,35242,BankSouth,2011-02-04,10338
247,American Trust Bank,Roswell,GA,57432,Renasant Bank,2011-02-04,10336
248,First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",2011-01-28,10333
249,FirsTier Bank,Louisville,CO,57646,No Acquirer,2011-01-28,10334
250,Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,2011-01-28,10332
251,The First State Bank,Camargo,OK,2303,Bank 7,2011-01-28,10335
